,Team,Opp,Pts,Sack,Int,Saf,FR,Blk,TD,PA,PassYds,RushYds,TotYds
0,Green Bay Packers,Min,25.00,6.0,2,0,1,0,1,10,188,111,299
1,Philadelphia Eagles,Stl,24.00,4.0,0,0,3,1,2,28,341,125,466
2,Carolina Panthers,Chi,19.00,4.0,2,0,2,0,1,24,262,85,347
3,Pittsburgh Steelers,@Jax,18.00,1.0,2,0,0,0,1,9,187,56,243
4,Indianapolis Colts,Bal,17.00,4.0,1,0,2,0,0,13,197,90,287
5,New England Patriots,Cin,17.00,1.0,0,0,3,0,1,17,241,79,320
6,San Diego Chargers,NYJ,16.00,2.0,1,0,1,0,0,0,60,91,151
7,Buffalo Bills,@Det,14.00,6.0,1,0,1,0,0,14,204,69,273
8,Detroit Lions,Buf,14.00,2.0,1,0,0,0,1,17,294,49,343
9,Baltimore Ravens,@Ind,13.00,1.0,2,0,2,0,0,20,305,127,432
10,Tampa Bay Buccaneers,@NO,12.00,0.0,3,0,0,0,1,37,371,140,511
11,Houston Texans,@Dal,11.00,1.0,1,0,2,0,0,20,316,140,456
12,Jacksonville Jaguars,Pit,10.00,4.0,0,0,1,0,0,17,261,111,372
13,Chicago Bears,@Car,8.00,2.0,1,0,2,0,0,31,231,91,322
14,Cleveland Browns,@Ten,7.00,3.0,0,1,0,1,0,28,261,149,410
15,Denver Broncos,Ari,7.00,3.0,0,0,0,0,0,20,178,37,215
16,New York Giants,Atl,7.00,1.0,1,0,0,0,0,20,307,90,397
17,Dallas Cowboys,Hou,6.00,0.0,1,0,0,0,0,17,154,176,330
18,San Francisco 49ers,KC,6.00,0.0,1,0,0,0,0,17,158,107,265
19,St. Louis Rams,@Phi,6.00,0.0,1,0,2,0,0,34,207,145,352
20,Arizona Cardinals,@Den,5.00,1.0,2,0,0,0,0,41,476,92,568
21,Atlanta Falcons,@NYG,5.00,1.0,0,0,2,0,0,30,193,124,317
22,New Orleans Saints,TB,5.00,1.0,1,1,0,0,0,31,248,66,314
23,New York Jets,@SD,5.00,3.0,1,0,0,0,0,31,277,162,439
24,Seattle Seahawks,@Was,5.00,1.0,0,0,0,0,0,17,275,32,307
25,Kansas City Chiefs,@SF,4.00,3.0,0,0,0,0,0,22,186,171,357
26,Minnesota Vikings,@GB,4.00,2.0,1,0,0,0,0,42,164,156,320
27,Washington Redskins,Sea,4.00,3.0,0,0,0,0,0,27,178,225,403
28,Tennessee Titans,Cle,3.00,1.0,1,0,0,0,0,29,284,176,460
29,Cincinnati Bengals,@NE,1.00,1.0,0,0,0,0,0,43,285,220,505
